code,location,registered,envelopes,valid,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
553701,BaËalky,133,98,97,12,0,0,5,0,5,9,1,5,1,0,0,14,0,4,34,0,1,1,0,0,0,5,0
572667,Baönice,170,116,115,8,0,0,5,0,8,7,0,1,0,0,0,4,0,2,59,0,0,7,2,0,0,12,0
572675,BÏchary,230,98,96,4,0,0,10,0,3,3,0,3,1,0,0,7,0,0,42,0,0,6,0,0,0,17,0
548901,BÌlsko u Ho¯ic,98,75,75,8,0,0,5,0,6,0,2,0,0,0,0,12,0,5,30,0,0,1,0,0,1,5,0
572705,Boh·Úka,188,139,139,26,0,0,5,0,18,20,1,1,5,0,0,6,0,10,28,0,0,4,1,0,1,13,0
548979,Borek,85,55,55,6,0,1,2,0,11,0,1,0,1,0,0,7,0,5,15,0,0,3,0,0,0,3,0
549100,Brada-RybnÌËek,120,82,82,14,0,0,2,1,9,0,2,0,0,0,0,12,0,7,26,0,0,3,1,0,0,4,1
549070,B¯ezina,85,57,56,8,0,1,0,0,5,2,0,2,1,0,0,7,0,3,14,0,0,4,0,0,0,8,1
548855,B¯Ìöùany,202,122,118,9,0,0,14,1,4,8,0,5,0,0,0,11,0,1,44,0,0,5,1,0,1,14,0
548952,BudËeves,130,58,57,3,0,0,9,0,0,10,0,1,0,0,0,2,0,1,25,0,0,1,0,0,0,5,0
573353,Bukvice,124,88,88,4,0,0,7,1,6,6,2,0,2,0,0,8,0,0,43,0,0,0,0,0,0,9,0
549282,Butoves,206,128,127,13,0,1,12,0,11,23,3,1,5,0,0,9,0,8,28,0,0,2,2,0,1,8,0
572772,Byst¯ice,275,152,149,12,2,0,17,1,4,12,3,1,0,0,0,12,1,2,58,0,2,9,0,1,1,11,0
572781,Cerekvice nad Byst¯icÌ,620,355,355,20,0,5,22,0,17,34,4,1,22,1,0,33,0,10,123,0,3,14,4,0,0,42,0
548995,»erven· T¯emeön·,126,87,87,5,1,0,3,0,16,8,1,0,2,0,0,5,0,10,24,0,0,3,0,0,0,9,0
572811,»eöov,188,132,131,4,0,0,18,0,4,15,1,2,6,0,0,14,0,0,46,0,0,6,0,0,0,15,0
572829,DÏtenice,621,367,366,30,0,0,26,0,26,41,4,9,5,2,0,26,1,17,120,1,2,13,5,0,0,36,2
549118,DÌlce,43,37,35,2,0,0,0,0,4,2,0,1,2,0,0,1,0,2,14,0,0,0,0,0,0,7,0
572837,Dobr· Voda u Ho¯ic,467,296,293,25,2,0,15,0,13,15,6,3,3,1,0,40,0,5,110,1,1,10,1,0,1,39,2
549088,DolnÌ Lochov,34,24,23,8,0,0,0,0,1,3,0,0,0,0,0,2,1,0,6,0,0,1,0,0,0,1,0
573337,D¯evÏnice,187,125,124,18,0,0,7,0,10,8,2,4,1,1,1,14,1,3,38,0,0,9,1,0,0,5,1
